technical_skill,communication,preferred_domain,education,career
data,good,analytics,btech,Data Analyst
biology,average,science,mbbs,Biologist
math,good,engineering,msc,AI/ML Engineer
mechanics,average,engineering,btech,Mechanical Engineer
hardware,good,technology,btech,Network Engineer
r,good,analytics,phd,Data Scientist
html,excellent,technology,ba,UI/UX Designer
javascript,average,technology,btech,Full Stack Developer
database,good,technology,mca,Backend Engineer
c++,good,technology,btech,Software Developer
networking,excellent,technology,btech,Cybersecurity Analyst
html,excellent,creative,bfa,UI/UX Designer
cad,average,infrastructure,mtech,Civil Engineer
design,good,creative,bdes,UI/UX Designer
math,good,finance,bba,Financial Analyst
diagnosis,good,science,mbbs,Doctor
c++,good,technology,mtech,Software Developer
management,excellent,business,mba,Marketing Manager
diagnosis,excellent,news,ba,Journalist
security,good,infrastructure,btech,DevOps Engineer
art,good,media,bfa,Graphic Designer
data,good,technology,mca,Data Engineer
python,good,technology,btech,AI/ML Engineer
lab,good,science,msc,Biologist
math,excellent,technology,btech,AI/ML Engineer
research,good,science,bsc,Biologist
investigation,average,media,ba,Journalist
lab,average,research,bsc,Biologist
sql,excellent,healthcare,md,Doctor
python,good,technology,btech,Data Engineer
chemistry,average,research,bsc,Chemist
cad,average,engineering,mtech,Mechanical Engineer
cad,average,infrastructure,mtech,Civil Engineer
python,good,technology,mca,DevOps Engineer
python,good,analytics,msc,Machine Learning Engineer
security,good,infrastructure,btech,DevOps Engineer
sql,excellent,analytics,bsc,Data Scientist
math,excellent,technology,btech,Machine Learning Engineer
sql,excellent,business,btech,Business Analyst
python,excellent,technology,bsc,Cybersecurity Analyst
python,good,technology,mtech,Machine Learning Engineer
research,good,science,phd,Chemist
security,average,technology,diploma,Network Engineer
medicine,excellent,technology,mbbs,Doctor
illustrator,good,creative,bfa,Graphic Designer
research,good,research,phd,Biologist
research,average,research,msc,Chemist
linux,average,technology,bsc,Network Engineer
node,good,technology,btech,Backend Engineer
data,good,technology,msc,Machine Learning Engineer
database,good,technology,mca,Full Stack Developer
javascript,average,technology,bsc,Full Stack Developer
design,excellent,technology,ba,UI/UX Designer
management,excellent,business,mba,Product Manager
design,excellent,technology,bsc,UI/UX Designer
math,good,technology,mtech,Machine Learning Engineer
database,average,technology,mca,Full Stack Developer
sql,good,technology,bsc,Data Engineer
javascript,good,technology,bsc,Full Stack Developer
editing,good,marketing,ma,Content Writer
diagnosis,good,technology,mbbs,Doctor
networking,average,technology,bsc,Network Engineer
networking,good,infrastructure,btech,Network Engineer
sql,good,analytics,btech,Data Engineer
chemistry,average,science,phd,Chemist
writing,excellent,news,ba,Journalist
construction,good,infrastructure,mtech,Civil Engineer
security,average,infrastructure,bsc,Network Engineer
interviewing,poor,news,ba,Journalist
python,good,technology,msc,Machine Learning Engineer
management,excellent,hr,bba,HR Manager
css,good,business,bfa,UI/UX Designer
excel,excellent,analytics,bba,Business Analyst
security,good,infrastructure,mca,DevOps Engineer
accounting,excellent,business,mba,Financial Analyst
math,good,analytics,mtech,AI/ML Engineer
strategy,excellent,business,bba,Product Manager
seo,excellent,marketing,mba,Marketing Manager
networking,excellent,security,bsc,Cybersecurity Analyst
math,poor,technology,mtech,Machine Learning Engineer
python,excellent,technology,btech,Data Scientist
database,average,technology,bsc,Full Stack Developer
excel,excellent,finance,mba,Financial Analyst
illustrator,good,media,bdes,Graphic Designer
medicine,excellent,science,md,Doctor
cad,average,engineering,btech,Mechanical Engineer
javascript,average,technology,mca,Full Stack Developer
illustrator,good,media,bfa,Graphic Designer
writing,poor,media,mba,Journalist
accounting,good,business,mcom,Financial Analyst
linux,average,security,bsc,Cybersecurity Analyst
agile,excellent,business,mba,Product Manager
python,good,technology,btech,Data Engineer
lab,good,research,bsc,Biologist
css,good,technology,bdes,UI/UX Designer
biology,good,healthcare,mbbs,Doctor
networking,good,technology,diploma,Network Engineer
web,good,analytics,btech,Machine Learning Engineer
python,good,technology,btech,Data Engineer
math,good,analytics,msc,AI/ML Engineer
python,average,technology,btech,Full Stack Developer
networking,good,infrastructure,mca,DevOps Engineer
linux,average,technology,diploma,Network Engineer
cad,average,manufacturing,mtech,Mechanical Engineer
physics,good,manufacturing,mtech,Mechanical Engineer
html,good,technology,diploma,UI/UX Designer
accounting,excellent,finance,bba,Financial Analyst
security,good,technology,btech,DevOps Engineer
management,excellent,technology,btech,Product Manager
java,good,technology,mca,Software Developer
art,good,marketing,ba,Content Writer
data,good,technology,btech,Machine Learning Engineer
python,good,technology,msc,Machine Learning Engineer
illustrator,good,media,ba,Content Writer
python,excellent,security,bsc,Cybersecurity Analyst
math,average,technology,msc,Machine Learning Engineer
accounting,good,finance,bcom,Financial Analyst
excel,good,business,bba,Financial Analyst
javascript,average,technology,bca,Software Developer
marketing,good,marketing,mba,Marketing Manager
art,good,media,mba,Graphic Designer
python,good,security,bsc,Cybersecurity Analyst
construction,average,infrastructure,diploma,Civil Engineer
html,excellent,creative,bdes,UI/UX Designer
lab,average,research,phd,Chemist
sql,excellent,healthcare,md,Doctor
lab,average,research,bsc,Biologist
python,average,technology,mca,Backend Engineer
database,average,business,mca,Backend Engineer
math,good,business,bcom,Financial Analyst
database,average,technology,mca,Full Stack Developer
math,good,technology,mtech,Machine Learning Engineer
management,average,infrastructure,btech,Network Engineer
interviewing,excellent,news,diploma,Journalist
networking,good,technology,btech,DevOps Engineer
data,good,analytics,btech,Data Engineer
data,average,analytics,btech,Business Analyst
design,average,engineering,diploma,Mechanical Engineer
management,excellent,business,bba,Product Manager
management,excellent,hr,bba,HR Manager
photoshop,good,creative,bdes,Graphic Designer
c++,average,technology,mca,Software Developer
management,excellent,hr,ba,HR Manager
data,good,technology,msc,Machine Learning Engineer
seo,good,business,diploma,Marketing Manager
biology,average,research,bsc,Biologist
python,good,technology,mca,DevOps Engineer
art,good,creative,bdes,Graphic Designer
data,good,business,btech,Data Analyst
data,good,business,btech,Business Analyst
writing,excellent,marketing,bba,Marketing Manager
research,average,research,phd,Chemist
management,excellent,business,bba,HR Manager
linux,good,technology,mtech,Cybersecurity Analyst
python,average,technology,btech,Full Stack Developer
javascript,good,technology,mca,Full Stack Developer
illustrator,good,creative,bdes,Graphic Designer
data,excellent,technology,msc,AI/ML Engineer
writing,excellent,media,diploma,Journalist
physics,average,engineering,btech,Mechanical Engineer
research,good,research,bsc,Chemist
database,good,technology,btech,Data Engineer
figma,excellent,technology,ba,UI/UX Designer
figma,good,creative,bdes,UI/UX Designer
math,good,finance,bcom,Financial Analyst
writing,excellent,media,ba,Journalist
management,good,business,ba,HR Manager
finance,good,finance,mba,Financial Analyst
excel,good,finance,mcom,Financial Analyst
hardware,good,infrastructure,bsc,Network Engineer
seo,excellent,marketing,mba,Marketing Manager
research,good,research,msc,Chemist
python,poor,analytics,mca,Data Engineer
javascript,average,technology,btech,Full Stack Developer
python,average,technology,btech,Full Stack Developer
art,good,creative,bdes,Graphic Designer
math,good,analytics,btech,Data Analyst
mechanics,average,manufacturing,diploma,Mechanical Engineer
figma,good,technology,ba,UI/UX Designer
construction,average,infrastructure,diploma,Civil Engineer
javascript,average,technology,btech,Full Stack Developer
c++,good,technology,bca,Software Developer
illustrator,poor,creative,bfa,Graphic Designer
css,excellent,creative,bsc,UI/UX Designer
node,good,technology,bsc,Backend Engineer
security,average,security,btech,Cybersecurity Analyst
cad,average,infrastructure,diploma,Civil Engineer
marketing,excellent,marketing,bba,Marketing Manager
design,excellent,creative,bfa,UI/UX Designer
sql,excellent,analytics,mtech,Data Scientist
java,average,technology,mca,Software Developer
security,good,technology,mtech,Cybersecurity Analyst
database,good,technology,mca,Data Engineer
strategy,excellent,technology,btech,Product Manager
math,excellent,finance,bcom,Financial Analyst
python,good,analytics,btech,Data Engineer
python,average,technology,mtech,Software Developer
writing,good,marketing,mba,Marketing Manager
python,good,analytics,btech,Machine Learning Engineer
python,good,technology,mtech,Machine Learning Engineer
security,average,technology,bsc,Network Engineer
mechanics,good,manufacturing,high_school,Mechanical Engineer
python,excellent,analytics,btech,AI/ML Engineer
biology,average,science,bca,Biologist
python,good,analytics,btech,Data Scientist
art,average,creative,mba,Graphic Designer
python,good,technology,mca,Data Engineer
strategy,excellent,technology,bba,Product Manager
math,good,finance,mba,Financial Analyst
cad,good,infrastructure,mtech,Civil Engineer
database,average,technology,btech,Backend Engineer
math,excellent,business,bcom,Financial Analyst
networking,good,infrastructure,diploma,Network Engineer
java,good,technology,mtech,Backend Engineer
node,good,technology,bsc,Backend Engineer
finance,excellent,finance,mcom,Financial Analyst
web,good,marketing,bca,Software Developer
excel,good,business,bba,Data Analyst
excel,excellent,finance,btech,Financial Analyst
sql,excellent,research,mtech,Data Scientist
deep learning,good,analytics,msc,AI/ML Engineer
biology,good,healthcare,md,Doctor
deep learning,excellent,analytics,mtech,AI/ML Engineer
r,good,research,phd,Data Scientist
java,average,technology,mtech,Backend Engineer
lab,good,research,phd,Chemist
cad,good,engineering,diploma,Mechanical Engineer
hardware,good,technology,btech,Network Engineer
math,excellent,technology,btech,AI/ML Engineer
seo,excellent,marketing,mba,Marketing Manager
math,good,business,bba,Financial Analyst
html,good,creative,bfa,UI/UX Designer
python,excellent,technology,btech,Full Stack Developer
art,good,media,bfa,Graphic Designer
data,excellent,news,btech,AI/ML Engineer
design,average,creative,diploma,Graphic Designer
lab,good,science,ba,Biologist
linux,good,infrastructure,mca,DevOps Engineer
math,excellent,analytics,msc,AI/ML Engineer
communication,good,technology,mtech,Software Developer
investigation,excellent,news,ba,Journalist
figma,excellent,creative,bdes,UI/UX Designer
lab,average,analytics,bsc,Chemist
data,good,analytics,msc,Machine Learning Engineer
networking,good,business,mtech,Cybersecurity Analyst
investigation,excellent,media,ba,Journalist
cad,average,engineering,btech,Mechanical Engineer
research,good,research,msc,Biologist
research,good,science,phd,Biologist
math,good,analytics,bsc,Data Analyst
cad,average,manufacturing,btech,Mechanical Engineer
math,good,analytics,mtech,Machine Learning Engineer
research,good,science,mbbs,Biologist
accounting,good,finance,bcom,Financial Analyst
python,good,technology,msc,AI/ML Engineer
c++,good,media,mca,Software Developer
javascript,excellent,technology,bsc,Full Stack Developer
data,good,technology,mca,Data Engineer
mechanics,good,manufacturing,mtech,Mechanical Engineer
seo,excellent,marketing,ba,Content Writer
art,average,media,bdes,Graphic Designer
data,excellent,analytics,btech,AI/ML Engineer
biology,good,science,msc,Biologist
hardware,good,infrastructure,diploma,Network Engineer
sql,excellent,research,bsc,Data Scientist
c++,average,technology,mtech,Software Developer
research,good,science,bsc,Biologist
java,good,technology,mca,Backend Engineer
java,average,technology,mtech,Backend Engineer
security,good,technology,mtech,Cybersecurity Analyst
seo,excellent,marketing,ma,Content Writer
biology,good,research,mbbs,Biologist
art,average,creative,bdes,Graphic Designer
sql,good,business,mba,Business Analyst
networking,good,infrastructure,btech,DevOps Engineer
excel,good,infrastructure,mca,DevOps Engineer
data,good,analytics,mba,Business Analyst
photoshop,average,media,bdes,Graphic Designer
networking,good,security,btech,Cybersecurity Analyst
writing,good,marketing,bba,Content Writer
security,excellent,security,bsc,Cybersecurity Analyst
c++,average,technology,btech,Software Developer
seo,good,marketing,ba,Content Writer
html,good,creative,bsc,UI/UX Designer
medicine,good,healthcare,mbbs,Doctor
figma,good,creative,bdes,UI/UX Designer
data,good,analytics,bba,Data Analyst
data,good,technology,btech,AI/ML Engineer
python,average,technology,mtech,Software Developer
python,good,technology,mtech,Cybersecurity Analyst
accounting,good,business,mba,Financial Analyst
math,good,technology,mtech,AI/ML Engineer
html,excellent,technology,bfa,UI/UX Designer
web,average,technology,btech,Full Stack Developer
finance,excellent,analytics,mtech,AI/ML Engineer
accounting,good,finance,bcom,Financial Analyst
research,excellent,analytics,bba,Data Analyst
networking,good,security,mtech,Cybersecurity Analyst
research,average,research,phd,Chemist
research,average,science,btech,Biologist
python,excellent,technology,msc,AI/ML Engineer
data,good,analytics,btech,AI/ML Engineer
physics,good,engineering,btech,Civil Engineer
linux,good,hr,btech,Network Engineer
photoshop,average,creative,bfa,Graphic Designer
python,excellent,technology,btech,Backend Engineer
biology,average,science,bsc,Biologist
data,excellent,analytics,mtech,AI/ML Engineer
management,good,marketing,bba,Marketing Manager
biology,good,technology,btech,Machine Learning Engineer
seo,excellent,media,ba,Content Writer
design,excellent,business,btech,Product Manager
art,good,media,bfa,Graphic Designer
linux,good,technology,btech,Network Engineer
figma,excellent,healthcare,mbbs,Doctor
editing,good,marketing,bba,Content Writer
accounting,excellent,business,mcom,Financial Analyst
finance,good,finance,bba,Financial Analyst
java,good,technology,mtech,Software Developer
data,excellent,analytics,mba,AI/ML Engineer
medicine,good,healthcare,md,Doctor
diagnosis,excellent,science,md,Doctor
cad,good,engineering,btech,Civil Engineer
management,excellent,marketing,mba,Marketing Manager
medicine,good,healthcare,md,Doctor
investigation,excellent,news,diploma,Journalist
node,average,technology,bsc,Backend Engineer
biology,excellent,science,mbbs,Biologist
management,excellent,business,bba,Product Manager
data,good,business,btech,Data Analyst
seo,good,marketing,bba,Marketing Manager
math,good,analytics,mtech,Cybersecurity Analyst
data,good,business,bsc,Data Analyst
marketing,good,business,bba,Marketing Manager
figma,excellent,security,btech,Cybersecurity Analyst
sql,average,business,bba,Business Analyst
communication,excellent,hr,mba,HR Manager
web,good,technology,mca,Software Developer
javascript,average,technology,btech,Full Stack Developer
python,good,technology,mtech,Machine Learning Engineer
excel,good,analytics,bba,Data Analyst
networking,average,technology,bsc,Network Engineer
physics,good,manufacturing,mtech,Mechanical Engineer
mechanics,average,engineering,diploma,Mechanical Engineer
networking,poor,technology,bsc,Network Engineer
sql,good,technology,mca,Backend Engineer
linux,average,infrastructure,btech,Network Engineer
excel,good,analytics,bba,Data Analyst
diagnosis,good,science,mbbs,Doctor
strategy,excellent,technology,bba,Product Manager
seo,excellent,marketing,ba,Content Writer
management,good,business,mba,Marketing Manager
lab,good,research,msc,Chemist
excel,good,finance,bcom,Financial Analyst
agile,excellent,business,high_school,Product Manager
node,good,technology,btech,Data Engineer
biology,good,research,msc,Biologist
writing,excellent,media,ma,Journalist
accounting,good,finance,mba,Financial Analyst
excel,excellent,business,mcom,Financial Analyst
sql,excellent,technology,bsc,Data Scientist
data,excellent,analytics,mtech,AI/ML Engineer
math,good,business,bcom,Financial Analyst
chemistry,average,research,msc,Chemist
node,excellent,technology,btech,Backend Engineer
web,good,technology,mca,Full Stack Developer
python,good,technology,btech,Data Engineer
writing,excellent,media,bba,Content Writer
research,average,research,msc,Chemist
writing,excellent,media,bba,Content Writer
data,good,technology,btech,AI/ML Engineer
communication,excellent,hr,bba,HR Manager
photoshop,average,creative,bdes,Graphic Designer
biology,average,science,mbbs,Doctor
design,good,technology,mba,UI/UX Designer
networking,good,technology,btech,Cybersecurity Analyst
deep learning,excellent,analytics,mtech,AI/ML Engineer
cad,average,infrastructure,mba,Civil Engineer
networking,good,technology,mtech,Cybersecurity Analyst
seo,excellent,marketing,bba,Marketing Manager
seo,average,marketing,bba,Content Writer
editing,excellent,media,ba,Content Writer
lab,average,research,mbbs,Biologist
writing,good,media,ba,Content Writer
web,average,technology,mca,Full Stack Developer
web,average,technology,bca,Software Developer
deep learning,excellent,analytics,msc,AI/ML Engineer
editing,excellent,media,ba,Content Writer
editing,good,media,ba,Content Writer
java,average,technology,mtech,Software Developer
math,good,analytics,btech,Machine Learning Engineer
deep learning,good,analytics,btech,AI/ML Engineer
css,good,technology,bsc,UI/UX Designer
mechanics,average,engineering,diploma,Mechanical Engineer
linux,average,technology,bsc,Network Engineer
python,good,technology,btech,Backend Engineer
figma,excellent,technology,bfa,UI/UX Designer
database,average,technology,mca,Backend Engineer
css,good,technology,bsc,UI/UX Designer
math,excellent,research,bca,Data Scientist
c++,good,technology,mtech,Software Developer
security,excellent,technology,bsc,Cybersecurity Analyst
web,good,technology,mca,Full Stack Developer
finance,excellent,finance,bcom,Financial Analyst
cad,good,engineering,diploma,Civil Engineer
data,good,analytics,btech,Data Analyst
lab,average,research,mbbs,Biologist
database,average,technology,mca,Backend Engineer
biology,excellent,science,mbbs,Doctor
r,good,technology,mtech,Data Scientist
design,average,media,bfa,Graphic Designer
writing,excellent,news,diploma,Journalist
construction,good,infrastructure,mtech,Civil Engineer
figma,excellent,creative,ba,UI/UX Designer
photoshop,average,media,bdes,Graphic Designer
python,average,technology,bsc,Full Stack Developer
linux,good,infrastructure,btech,Network Engineer
biology,good,healthcare,md,Doctor
python,average,technology,bca,Software Developer
finance,excellent,business,mcom,Financial Analyst
management,excellent,business,mba,Product Manager
python,good,technology,bsc,Full Stack Developer
node,excellent,analytics,mtech,Backend Engineer
java,average,technology,bsc,Backend Engineer
c++,average,technology,btech,Software Developer
physics,average,infrastructure,btech,Civil Engineer
seo,excellent,media,bba,Content Writer
hardware,good,technology,bsc,Network Engineer
art,average,media,diploma,Graphic Designer
data,good,analytics,mca,Data Engineer
seo,good,marketing,bba,Marketing Manager
finance,excellent,business,mcom,Financial Analyst
hardware,average,technology,bsc,Network Engineer
management,excellent,business,ba,HR Manager
communication,excellent,business,ba,HR Manager
r,excellent,research,mtech,Data Scientist
design,good,creative,bdes,UI/UX Designer
python,good,technology,btech,Data Engineer
data,good,technology,msc,Machine Learning Engineer
agile,excellent,business,bba,Product Manager
figma,excellent,technology,bsc,UI/UX Designer
linux,good,infrastructure,high_school,Network Engineer
communication,excellent,business,bba,HR Manager
security,good,technology,btech,DevOps Engineer
excel,good,business,bba,Data Analyst
art,average,creative,bdes,Graphic Designer
c++,good,technology,bsc,Software Developer
java,good,technology,mca,Software Developer
cad,average,manufacturing,btech,Mechanical Engineer
cad,good,engineering,mtech,Civil Engineer
research,average,research,mbbs,Biologist
security,good,technology,btech,DevOps Engineer
strategy,excellent,business,btech,Product Manager
networking,average,security,mtech,Cybersecurity Analyst
web,average,technology,bsc,Full Stack Developer
sql,good,technology,btech,Data Scientist
javascript,good,technology,btech,Software Developer
sql,good,analytics,btech,Data Scientist
figma,excellent,technology,bsc,UI/UX Designer
diagnosis,excellent,science,mbbs,Doctor
psychology,excellent,hr,bba,HR Manager
diagnosis,good,healthcare,mbbs,Doctor
interviewing,excellent,news,ba,Journalist
chemistry,good,research,bsc,Chemist
art,good,finance,bcom,Financial Analyst
python,good,technology,mca,Full Stack Developer
excel,excellent,business,btech,Business Analyst
networking,good,security,mtech,Cybersecurity Analyst
python,good,technology,btech,Full Stack Developer
writing,good,marketing,bca,Content Writer
java,excellent,technology,mca,Backend Engineer
lab,good,science,msc,Chemist
python,good,technology,mca,Data Engineer
database,good,technology,bsc,Backend Engineer
management,excellent,technology,bba,Product Manager
figma,excellent,creative,bdes,UI/UX Designer
networking,average,infrastructure,btech,Network Engineer
python,good,technology,mca,Backend Engineer
html,excellent,technology,bfa,UI/UX Designer
linux,good,infrastructure,mca,DevOps Engineer
editing,good,media,bba,Content Writer
data,good,technology,msc,Machine Learning Engineer
python,good,technology,msc,Machine Learning Engineer
psychology,excellent,technology,btech,AI/ML Engineer
math,good,analytics,msc,AI/ML Engineer
python,good,technology,mca,Full Stack Developer
security,good,technology,mca,DevOps Engineer
security,good,infrastructure,btech,DevOps Engineer
cad,average,manufacturing,diploma,Mechanical Engineer
biology,good,research,phd,Biologist
research,average,science,msc,Chemist
math,good,analytics,msc,Data Scientist
research,good,research,phd,Chemist
web,average,technology,mca,Software Developer
math,good,business,bsc,Data Analyst
data,good,analytics,msc,Machine Learning Engineer
html,excellent,technology,bsc,UI/UX Designer
writing,good,business,mba,Marketing Manager
seo,excellent,business,mba,Marketing Manager
data,good,research,msc,Data Scientist
research,good,research,msc,Chemist
diagnosis,good,healthcare,ba,Doctor
illustrator,good,creative,bfa,Graphic Designer
html,excellent,technology,bdes,UI/UX Designer
python,excellent,technology,mtech,Data Scientist
art,good,media,diploma,Graphic Designer
math,excellent,business,mba,Financial Analyst
sql,good,business,bba,Business Analyst
python,good,analytics,mca,Data Engineer
interviewing,excellent,news,diploma,Journalist
sql,average,technology,mtech,Backend Engineer
cad,average,infrastructure,diploma,Civil Engineer
strategy,excellent,technology,mba,Product Manager
math,average,research,btech,Data Scientist
java,average,technology,mca,Backend Engineer
seo,good,media,ma,Content Writer
research,average,research,mbbs,Biologist
psychology,excellent,business,mba,HR Manager
python,good,technology,btech,Machine Learning Engineer
r,excellent,technology,mtech,Data Scientist
python,good,technology,bsc,Backend Engineer
math,excellent,analytics,mtech,AI/ML Engineer
networking,good,security,btech,Cybersecurity Analyst
agile,excellent,business,btech,Product Manager
sql,excellent,analytics,bsc,Data Scientist
cad,average,engineering,mtech,Mechanical Engineer
math,excellent,analytics,bsc,Data Scientist
psychology,excellent,hr,bba,HR Manager
biology,good,research,mbbs,Biologist
javascript,average,technology,bsc,Full Stack Developer
excel,good,finance,mcom,Financial Analyst
art,average,creative,bdes,Graphic Designer
communication,excellent,business,mba,HR Manager
physics,average,engineering,btech,Civil Engineer
html,excellent,technology,bsc,UI/UX Designer
figma,good,analytics,btech,Data Engineer
math,excellent,news,btech,AI/ML Engineer
html,excellent,creative,btech,UI/UX Designer
illustrator,good,media,bdes,Graphic Designer
marketing,excellent,marketing,bba,Marketing Manager
hardware,good,technology,btech,Network Engineer
math,excellent,analytics,msc,AI/ML Engineer
seo,good,marketing,bba,Content Writer
data,good,research,mtech,Data Scientist
excel,good,analytics,btech,Data Analyst
python,average,technology,mca,Backend Engineer
lab,good,science,phd,Chemist
lab,good,research,phd,Chemist
linux,good,technology,mtech,Cybersecurity Analyst
writing,good,media,bba,Content Writer
python,good,analytics,msc,AI/ML Engineer
networking,good,technology,mtech,Cybersecurity Analyst
physics,average,manufacturing,btech,Mechanical Engineer
writing,excellent,business,bba,Marketing Manager
excel,excellent,finance,mcom,Financial Analyst
database,average,technology,btech,Full Stack Developer
networking,average,infrastructure,bsc,Network Engineer
html,good,technology,ba,UI/UX Designer
psychology,excellent,hr,mca,HR Manager
research,average,research,msc,Biologist
communication,excellent,hr,ba,HR Manager
construction,good,infrastructure,mtech,Civil Engineer
writing,excellent,marketing,bba,Marketing Manager
biology,average,science,mbbs,Biologist
linux,good,technology,btech,Network Engineer
security,good,security,btech,Cybersecurity Analyst
python,good,technology,btech,Backend Engineer
math,excellent,finance,mcom,Financial Analyst
art,good,media,bfa,Graphic Designer
strategy,excellent,business,bba,Product Manager
networking,good,security,mtech,Cybersecurity Analyst
cad,average,engineering,mtech,Civil Engineer
cad,average,engineering,btech,Civil Engineer
node,excellent,technology,mtech,Backend Engineer
accounting,good,business,bba,Financial Analyst
sql,excellent,business,bba,Business Analyst
database,good,technology,mtech,Backend Engineer
biology,good,research,msc,Biologist
database,good,technology,diploma,Backend Engineer
physics,average,infrastructure,diploma,Civil Engineer
seo,excellent,marketing,bba,Content Writer
design,average,engineering,diploma,Network Engineer
java,average,technology,btech,Backend Engineer
security,good,technology,btech,DevOps Engineer
database,good,technology,mca,Data Engineer
management,good,technology,mba,Business Analyst
interviewing,excellent,news,ma,Journalist
illustrator,good,media,diploma,Graphic Designer
investigation,excellent,news,ma,Journalist
agile,excellent,technology,bba,Product Manager
javascript,good,technology,ba,Software Developer
editing,excellent,marketing,ba,Content Writer
art,average,media,diploma,Graphic Designer
excel,good,technology,btech,Business Analyst
python,good,technology,mtech,Backend Engineer
research,good,research,bsc,Chemist
security,poor,security,btech,Cybersecurity Analyst
linux,good,security,btech,Cybersecurity Analyst
management,excellent,technology,bba,Marketing Manager
math,excellent,finance,mcom,Financial Analyst
python,good,technology,mca,DevOps Engineer
python,excellent,technology,mca,Data Engineer
linux,good,technology,btech,Network Engineer
lab,good,science,mbbs,Biologist
illustrator,good,creative,bfa,Graphic Designer
excel,good,analytics,bba,Data Analyst
python,excellent,technology,mtech,AI/ML Engineer
agile,excellent,technology,mba,Product Manager
lab,average,science,bsc,Chemist
research,average,research,bsc,Biologist
sql,good,analytics,mca,Data Engineer
html,good,technology,bfa,UI/UX Designer
writing,excellent,news,ba,Journalist
python,good,analytics,mca,Data Engineer
python,average,technology,msc,Machine Learning Engineer
linux,good,technology,btech,Cybersecurity Analyst
writing,excellent,media,ba,Journalist
data,good,analytics,msc,Machine Learning Engineer
javascript,good,technology,bca,Software Developer
management,excellent,business,ba,HR Manager
database,poor,analytics,mca,Data Engineer
strategy,excellent,technology,mba,Product Manager
biology,good,research,btech,Biologist
database,poor,technology,mca,Full Stack Developer
art,good,creative,diploma,Graphic Designer
linux,excellent,business,btech,Cybersecurity Analyst
web,good,technology,btech,Full Stack Developer
python,good,technology,mca,Data Engineer
java,average,technology,btech,Backend Engineer
hardware,average,infrastructure,bsc,Network Engineer
writing,good,media,ba,Content Writer
management,excellent,technology,bba,Product Manager
management,excellent,hr,ba,HR Manager
python,good,technology,btech,DevOps Engineer
management,good,analytics,btech,Business Analyst
sql,good,research,btech,Data Scientist
strategy,excellent,business,mba,Product Manager
database,good,technology,btech,Full Stack Developer
javascript,average,technology,bsc,Software Developer
python,good,security,btech,Cybersecurity Analyst
mechanics,average,manufacturing,btech,Mechanical Engineer
cad,good,engineering,btech,Civil Engineer
r,good,technology,bsc,Data Scientist
research,average,research,phd,Biologist
security,good,infrastructure,btech,DevOps Engineer
strategy,excellent,business,btech,Product Manager
hardware,good,technology,bsc,Network Engineer
physics,poor,infrastructure,diploma,Civil Engineer
construction,good,technology,diploma,Civil Engineer
r,excellent,technology,mtech,Data Scientist
strategy,excellent,business,btech,Product Manager
cad,average,engineering,btech,Mechanical Engineer
interviewing,excellent,news,ma,Journalist
writing,good,media,ma,Content Writer
construction,poor,technology,diploma,Civil Engineer
management,excellent,hr,mba,HR Manager
cad,good,manufacturing,high_school,Mechanical Engineer
security,good,security,mtech,Cybersecurity Analyst
management,excellent,business,mba,Business Analyst
database,good,technology,btech,Data Engineer
cad,average,engineering,diploma,Civil Engineer
chemistry,good,research,bsc,Chemist
python,good,analytics,mtech,Machine Learning Engineer
database,average,technology,btech,Full Stack Developer
biology,good,healthcare,md,Doctor
biology,average,science,msc,Biologist
chemistry,good,science,bsc,Chemist
marketing,excellent,marketing,bba,Marketing Manager
medicine,good,healthcare,mbbs,Doctor
strategy,excellent,technology,btech,Product Manager
art,excellent,creative,bfa,Graphic Designer
python,good,technology,msc,Machine Learning Engineer
sql,excellent,media,ma,Journalist
sql,good,technology,mca,Data Engineer
diagnosis,poor,science,mbbs,Doctor
research,poor,science,bsc,Biologist
psychology,excellent,infrastructure,high_school,HR Manager
lab,good,research,phd,Biologist
excel,good,finance,mcom,Financial Analyst
excel,good,business,mba,Business Analyst
linux,good,infrastructure,btech,DevOps Engineer
illustrator,poor,creative,bdes,Graphic Designer
hardware,average,technology,diploma,Network Engineer
css,good,creative,bdes,UI/UX Designer
physics,good,infrastructure,diploma,Civil Engineer
database,good,technology,bsc,Backend Engineer
database,average,technology,btech,Full Stack Developer
chemistry,average,research,msc,Chemist
security,average,infrastructure,btech,Network Engineer
figma,good,technology,bfa,UI/UX Designer
sql,good,technology,msc,Data Scientist
math,good,analytics,msc,Machine Learning Engineer
research,good,science,msc,Biologist
python,excellent,technology,btech,Cybersecurity Analyst
node,good,technology,btech,Backend Engineer
python,good,analytics,msc,Data Scientist
hardware,good,technology,bsc,Network Engineer
cad,good,engineering,diploma,Civil Engineer
deep learning,excellent,technology,btech,AI/ML Engineer
python,excellent,technology,btech,Cybersecurity Analyst
construction,good,infrastructure,diploma,Civil Engineer
database,average,technology,mca,Backend Engineer
research,average,research,msc,Chemist
seo,good,business,mba,Marketing Manager
management,poor,technology,bba,Product Manager
management,average,business,btech,Business Analyst
python,good,technology,btech,Data Engineer
data,good,technology,btech,Machine Learning Engineer
finance,excellent,finance,bcom,Financial Analyst
physics,good,manufacturing,btech,Mechanical Engineer
cad,average,engineering,diploma,Civil Engineer
sql,good,science,btech,Business Analyst
sql,excellent,analytics,bba,Business Analyst
